id,text,url,death_date,name,age,nationality,cause,description,votes,sortorder,article_length,versions,editors,inbound_links
6229,"Christopher N. L. Brooke, 88, British medieval historian.[397]",https://en.wikipedia.org/wiki/Christopher_N._L._Brooke,2015-12-27 00:00:00,Christopher N. L. Brooke,88.0,British,, medieval historian,0,0,850,50,23,100
6230,"Stein Eriksen, 88, Norwegian alpine skier, Olympic champion (1952) and triple world champion (1954).[398]",https://en.wikipedia.org/wiki/Stein_Eriksen,2015-12-27 00:00:00,Stein Eriksen,88.0,Norwegian,," alpine skier, Olympic champion (1952) and triple world champion (1954)",0,0,3110,163,99,314
6231,"Franco Giacobini, 89, Italian actor.[399]",https://en.wikipedia.org/wiki/Franco_Giacobini,2015-12-27 00:00:00,Franco Giacobini,89.0,Italian,, actor,0,0,405,29,15,48
6232,"Dave Henderson, 57, American baseball player (Seattle Mariners, Boston Red Sox, Oakland Athletics), World Series champion (1989), heart attack.[400]",https://en.wikipedia.org/wiki/Dave_Henderson,2015-12-27 00:00:00,Dave Henderson,57.0,American,heart attack, baseball player (Seattle Mariners Boston Red Sox Oakland Athletics) World Series champion (1989),0,0,17142,245,124,331
6233,"Aidan Higgins, 88, Irish writer.[401]",https://en.wikipedia.org/wiki/Aidan_Higgins,2015-12-27 00:00:00,Aidan Higgins,88.0,Irish,, writer,0,0,3636,151,85,42
6234,"Ellsworth Kelly, 92, American artist.[402]",https://en.wikipedia.org/wiki/Ellsworth_Kelly,2015-12-27 00:00:00,Ellsworth Kelly,92.0,American,, artist,0,0,23430,550,242,391
6235,"Meadowlark Lemon, 83, American Hall of Fame basketball player (Harlem Globetrotters).[403]",https://en.wikipedia.org/wiki/Meadowlark_Lemon,2015-12-27 00:00:00,Meadowlark Lemon,83.0,American,, Hall of Fame basketball player (Harlem Globetrotters),0,0,4316,465,239,441
6236,"Sidney Mintz, 93, American anthropologist.[404]",https://en.wikipedia.org/wiki/Sidney_Mintz,2015-12-27 00:00:00,Sidney Mintz,93.0,American,, anthropologist,0,0,14072,173,92,179
6237,"Alfredo Pacheco, 33, Salvadoran footballer (FAS, New York Red Bulls, national team), shot.[405]",https://en.wikipedia.org/wiki/Alfredo_Pacheco,2015-12-27 00:00:00,Alfredo Pacheco,33.0,Salvadoran,shot, footballer (FAS New York Red Bulls national team),0,0,3003,473,166,122
6238,"Carlos Rosales Mendoza, 52, Mexican drug lord, founder of La Familia Michoacana.[406] (body discovered on this day)",https://en.wikipedia.org/wiki/Carlos_Rosales_Mendoza,2015-12-27 00:00:00,Carlos Rosales Mendoza,52.0,Mexican,," drug lord, founder of La Familia Michoacana",0,0,5002,108,34,291
6239,"Andy M. Stewart, 63, Scottish folk singer (Silly Wizard).[407]",https://en.wikipedia.org/wiki/Andy_M._Stewart,2015-12-27 00:00:00,Andy M. Stewart,63.0,Scottish,, folk singer (Silly Wizard),0,0,831,53,42,33
6240,"Craig Strickland, 29, American country singer, hypothermia.[408]",https://en.wikipedia.org/wiki/Craig_Strickland,2015-12-27 00:00:00,Craig Strickland,29.0,American,hypothermia, country singer,0,0,977,52,30,7
6241,"Roy Swinbourne, 86, English footballer (Wolverhampton Wanderers).[409]",https://en.wikipedia.org/wiki/Roy_Swinbourne,2015-12-27 00:00:00,Roy Swinbourne,86.0,English,, footballer (Wolverhampton Wanderers),0,0,2267,25,19,21
6242,"Gabriel Tambon, 85, French politician, Mayor of Le Castellet, Var (since 1965).[410]",https://en.wikipedia.org/wiki/Gabriel_Tambon,2015-12-27 00:00:00,Gabriel Tambon,85.0,French,," politician, Mayor of Le Castellet, Var (since 1965)",0,0,227,2,2,2
6243,"Brian Turner, 77, English cricketer. [1]",https://en.wikipedia.org/wiki/Brian_Turner_(cricketer),2015-12-27 00:00:00,Brian Turner,77.0,English,, cricketer,0,0,1053,34,22,12
6244,"Wilbur Volz, 91, American football player (Buffalo Bills).[411]",https://en.wikipedia.org/wiki/Wilbur_Volz,2015-12-27 00:00:00,Wilbur Volz,91.0,American,, football player (Buffalo Bills),0,0,321,9,4,4
6245,"Berenado Vunibobo, 84, Fijian politician and diplomat.[412]",https://en.wikipedia.org/wiki/Berenado_Vunibobo,2015-12-27 00:00:00,Berenado Vunibobo,84.0,Fijian,, politician and diplomat,0,0,772,37,22,23
6246,"Haskell Wexler, 93, American cinematographer and director (Who's Afraid of Virginia Woolf?, One Flew Over the Cuckoo's Nest, Medium Cool), Oscar winner (1966, 1976).[413]",https://en.wikipedia.org/wiki/Haskell_Wexler,2015-12-27 00:00:00,Haskell Wexler,93.0,American,," cinematographer and director (Who's Afraid of Virginia Woolf?, One Flew Over the Cuckoo's Nest, Medium Cool), Oscar winner (1966, 1976)",0,0,5365,275,163,323
