id,text,url,death_date,name,age,nationality,claim,cause
9006,"Rogelio Ordoñez, 75, Filipino author.[337]",https://en.wikipedia.org/wiki/Rogelio_Ordo%C3%B1ez,2016-05-19 00:00:00,Rogelio Ordoñez,75,Filipino,author,
9007,"N. S. Palanisamy, 75, Indian politician.[338]",https://en.wikipedia.org/wiki/N._S._Palanisamy,2016-05-19 00:00:00,N. S. Palanisamy,75,Indian,politician,
9008,"Laxminarayan Pandey, 88, Indian politician, member of the Lok Sabha for Mandsaur (1971–1979, 1989–2009).[339]",https://en.wikipedia.org/wiki/Laxminarayan_Pandey,2016-05-19 00:00:00,Laxminarayan Pandey,88,Indian,politician,
9009,"Marco Pannella, 86, Italian politician and civil rights activist, MEP (1979–2009).[340]",https://en.wikipedia.org/wiki/Marco_Pannella,2016-05-19 00:00:00,Marco Pannella,86,Italian,politician and civil rights activist,
9010,"Morley Safer, 84, Canadian-born American journalist (60 Minutes), pneumonia.[341]",https://en.wikipedia.org/wiki/Morley_Safer,2016-05-19 00:00:00,Morley Safer,84,Canadian-born American,journalist,pneumonia
9011,"John Sisko, 57, American sculptor.[342]",https://en.wikipedia.org/wiki/John_Sisko,2016-05-19 00:00:00,John Sisko,57,American,sculptor,
9012,"Donald Snelgrove, 91, British Anglican clergyman, Bishop of Hull (1981–1994).[343]",https://en.wikipedia.org/wiki/Donald_Snelgrove,2016-05-19 00:00:00,Donald Snelgrove,91,British,Anglican clergyman,
9013,"Alan Young, 96, English-born Canadian-American actor (Mister Ed, The Time Machine, DuckTales).[344]",https://en.wikipedia.org/wiki/Alan_Young,2016-05-19 00:00:00,Alan Young,96,English-born Canadian,,
9014,"Gert Bals, 79, Dutch footballer (PSV, Ajax).[345]",https://en.wikipedia.org/wiki/Gert_Bals,2016-05-20 00:00:00,Gert Bals,79,Dutch,footballer,
9015,"Glen Clegg, 82, Canadian politician.[346]",https://en.wikipedia.org/wiki/Glen_Clegg,2016-05-20 00:00:00,Glen Clegg,82,Canadian,politician,
9016,"Patricia M. Derian, 86, American human rights activist, Alzheimer's disease.[347]",https://en.wikipedia.org/wiki/Patricia_M._Derian,2016-05-20 00:00:00,Patricia M. Derian,86,American,human rights activist,Alzheimer's disease
9017,"Vasile Duță, 60, Romanian lawyer and politician, Senator (2000–2004), lung cancer.[348]",https://en.wikipedia.org/wiki/Vasile_Du%C8%9B%C4%83,2016-05-20 00:00:00,Vasile Duță,60,Romanian,lawyer and politician,lung cancer
9018,"John David Jackson, 91, Canadian physicist.[349]",https://en.wikipedia.org/wiki/John_David_Jackson_(physicist),2016-05-20 00:00:00,John David Jackson,91,Canadian,physicist,
9019,"Gabriel, 75, Russian prelate, Archbishop of the Russian Orthodox Church.[350]",https://en.wikipedia.org/wiki/Gabriel_(prelate),2016-05-20 00:00:00,Gabriel,75,Russian,prelate,
9020,"Brandon Grove, 87, American diplomat, ambassador to East Germany and Zaire, cancer.[351]",https://en.wikipedia.org/wiki/Brandon_Grove,2016-05-20 00:00:00,Brandon Grove,87,American,diplomat,cancer
9021,"Rosanna Huffman, 77, American actress (Babe, Oliver & Company, Murder, She Wrote), pancreatic cancer.[352]",https://en.wikipedia.org/wiki/Rosanna_Huffman,2016-05-20 00:00:00,Rosanna Huffman,77,American,actress,pancreatic cancer
9022,"Kang Sok-ju, 76, North Korean diplomat and politician, Foreign Minister (2007), esophageal cancer.[353]",https://en.wikipedia.org/wiki/Kang_Sok-ju,2016-05-20 00:00:00,Kang Sok-ju,76,North Korean,diplomat and politician,esophageal cancer
